date,Price,Open,High,Low,Vol.,Change %
23-01-2024,302.6,313.45,315.3,300.3,21.65M,-1.82%
20-01-2024,308.2,309.95,314.85,306.25,10.65M,-0.08%
19-01-2024,308.45,303.8,309.45,301.7,28.65M,3.06%
18-01-2024,299.3,308.95,311.3,296.55,32.48M,-3.23%
17-01-2024,309.3,309.75,314.1,307.1,13.50M,-0.71%
16-01-2024,311.5,317.25,317.25,310.15,10.16M,-1.83%
15-01-2024,317.3,314.9,318,309.6,9.71M,1.49%
12/1/2024,312.65,315.2,315.3,309.7,12.34M,-0.08%
11/1/2024,312.9,314.95,317.3,312.35,10.32M,-0.14%
10/1/2024,313.35,319.65,319.75,308,14.46M,-2.00%
9/1/2024,319.75,317.85,321.45,316.05,12.23M,1.04%
8/1/2024,316.45,316.45,318.35,312.6,10.14M,0.48%
5/1/2024,314.95,322.9,325.65,312.7,27.46M,-0.68%
4/1/2024,317.1,310.9,321.75,308.6,40.06M,3.56%
3/1/2024,306.2,307.2,308,303.3,14.26M,0.07%
2/1/2024,306,310.8,310.8,302.05,13.51M,-1.21%
1/1/2024,309.75,312,313.3,307.8,8.02M,-0.45%
29-12-2023,311.15,314.35,314.35,308.15,12.68M,-0.88%
28-12-2023,313.9,309.1,315.5,307.75,37.59M,2.56%
27-12-2023,306.05,311.6,312.25,303.55,12.63M,-1.15%
26-12-2023,309.6,306.45,310.7,304.6,9.92M,2.25%
22-12-2023,302.8,304,308.95,299.6,15.21M,0.28%
21-12-2023,301.95,295.8,303.15,293.2,17.87M,1.44%
20-12-2023,297.65,312.5,313.35,295.15,23.50M,-3.88%
19-12-2023,309.65,305,312.5,302.5,15.65M,2.13%
18-12-2023,303.2,306,306.55,301.75,13.31M,-0.62%
15-12-2023,305.1,298,307,295,28.84M,3.28%
14-12-2023,295.4,297.75,298.5,293.6,24.90M,0.46%
13-12-2023,294.05,284.75,294.9,284.5,23.63M,3.76%
12/12/2023,283.4,287.45,288.6,280.85,8.64M,-1.36%
11/12/2023,287.3,286.05,288.5,284.4,8.07M,0.79%
8/12/2023,285.05,286.45,291.9,281,20.82M,0.44%
7/12/2023,283.8,281.85,288.25,281.3,25.13M,0.96%
6/12/2023,281.1,288,288.25,278.95,13.42M,-1.52%
5/12/2023,285.45,275.2,286.55,272.8,18.88M,3.88%
4/12/2023,274.8,276,279,273.25,20.46M,2.18%
1/12/2023,268.95,262.35,275.45,261.75,29.12M,2.93%
30-11-2023,261.3,257.95,261.65,256,21.69M,1.12%
29-11-2023,258.4,259.55,259.55,256.1,8.64M,0.33%
28-11-2023,257.55,254.85,258.3,253.65,6.15M,1.44%
24-11-2023,253.9,253.3,256.85,253,7.15M,0.45%
23-11-2023,252.75,254,255.7,251.7,8.20M,-0.35%
22-11-2023,253.65,250.8,254,249.35,5.28M,1.46%
21-11-2023,250,252.6,252.8,247.3,6.85M,-0.42%
20-11-2023,251.05,251,255.4,250.3,6.28M,-0.22%
17-11-2023,251.6,253,253.1,251,5.62M,-0.30%
16-11-2023,252.35,248.8,254.25,247.65,22.15M,2.04%
15-11-2023,247.3,248.95,248.95,245.95,10.97M,0.65%
13-11-2023,245.7,244.95,250.6,243.3,18.79M,0.47%
12/11/2023,244.55,245.95,246.35,244.05,2.51M,0.74%
10/11/2023,242.75,237.85,243.25,235.8,9.59M,2.02%
9/11/2023,237.95,237.2,239.7,236,13.99M,0.53%
8/11/2023,236.7,239.85,240.9,235.95,9.78M,-1.02%
7/11/2023,239.15,236.3,239.55,235.2,7.00M,1.40%
6/11/2023,235.85,235.35,237.2,234.55,5.34M,0.64%
3/11/2023,234.35,233.3,235.25,233.3,6.83M,-0.38%
2/11/2023,235.25,234.2,235.7,233.75,6.06M,1.14%
1/11/2023,232.6,236.7,236.7,232.1,6.72M,-1.36%
31-10-2023,235.8,234.5,237.2,233.55,6.58M,0.51%
30-10-2023,234.6,237.45,238.4,230.65,8.81M,-0.85%
27-10-2023,236.6,232,238.45,232,10.52M,2.14%
26-10-2023,231.65,230.85,233.3,227.75,17.41M,-0.17%
25-10-2023,232.05,236,236.3,228.35,23.95M,-1.90%
23-10-2023,236.55,240.8,240.9,235,7.06M,-1.85%
20-10-2023,241,238.95,242.15,237.55,9.04M,0.63%
19-10-2023,239.5,240.2,241.8,238.5,11.49M,-1.03%
18-10-2023,242,245.9,246.8,241.6,6.99M,-1.61%
17-10-2023,245.95,244.85,247.2,243.3,10.08M,1.03%
16-10-2023,243.45,242.85,245,241,6.94M,0.58%
13-10-2023,242.05,240.55,243.8,239.6,11.88M,0.19%
12/10/2023,241.6,238.95,242.75,238.6,13.17M,1.21%
11/10/2023,238.7,236.25,239.7,236,14.31M,1.19%
